country,iso3,region,source_type,year,prophet_forecast_mw_x,lr_forecast_mw,prophet_forecast_mw_y,sarima_forecast_mw,xgb_forecast_mw,lgbm_forecast_mw,hybrid_forecast_mw,ensemble_forecast_mw,recommended_forecast_mw,best_model
Italy,ITA,Europe,Solar,2025,25509.94623449499,36013.12,25509.94623449499,36013.12,40641.02771484375,39453.84216964969,36013.12,39453.84216782978,39453.84216782978,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Solar,2026,26279.640840922257,36013.12,26279.640840922257,36013.12,44417.03357421875,42284.69551115162,36013.12,42284.6955091565,42284.6955091565,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Solar,2027,27064.46086879956,36774.07224624625,27064.46086879956,36013.12,46632.83166992188,45403.29374942112,36013.12,45403.293747017015,45403.293747017015,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Solar,2028,27864.22025013987,39110.386885135136,27864.22025013987,36013.12,48202.85522949219,45909.393498739286,36013.12,45909.393496654004,45909.393496654004,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Solar,2029,28680.953252783627,41517.29693693694,28680.953252783627,36013.12,49130.565617675784,46204.00201868434,36013.12,46204.002016925864,46204.002016925864,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Wind,2025,13204.101282597814,14936.848630630628,13204.101282597814,12992.3,13539.770458984374,13812.777954953248,13330.21579214904,13644.846735821347,13644.846735821347,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Wind,2026,13652.819765591368,15698.574648648646,13652.819765591368,12992.3,14204.106518554687,14858.749976376977,13778.934275142594,14557.135723000683,14557.135723000683,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Wind,2027,14105.366948147966,16475.203879879875,14105.366948147966,13096.723968163878,14845.625073242187,15726.372868972425,14231.481457699192,15322.390732437816,15322.390732437816,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Wind,2028,14561.034500700818,17266.73632432432,14561.034500700818,13304.26901249358,15466.272351074218,16250.038350292889,14687.149010252044,15805.90942466312,15805.90942466312,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Italy,ITA,Europe,Wind,2029,15020.351478240756,18073.171981981977,15020.351478240756,13494.604484664897,16022.530407714843,16655.774686363024,15146.465987791982,16191.818896425908,16191.818896425908,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Biomass,2025,3121.859672511497,6223.24,3121.859672511497,6223.24,6862.237924804687,6557.479271774143,6223.24,6674.863791057102,6674.863791057102,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Biomass,2026,3289.0973566219936,6223.24,3289.0973566219936,6223.24,7516.062021484375,7362.813140051906,6223.24,7318.3300972010675,7318.3300972010675,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Biomass,2027,3462.595063308308,6322.803831831832,3462.595063308308,6223.24,7805.707407226562,7844.295999452982,6223.24,7642.952386699251,7642.952386699251,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Biomass,2028,3642.301733131302,6835.320054054054,3642.301733131302,6223.24,8243.133463134765,8494.617809682097,6223.24,8102.408617268993,8102.408617268993,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Biomass,2029,3828.6513370953403,7367.294774774775,3828.6513370953403,6223.24,8895.639383544922,9348.483734900312,6223.24,8754.407382420452,8754.407382420452,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Hydro,2025,28177.627784877557,28234.05,28177.627784877557,28234.05,28313.851628112792,28493.095409409307,28738.130741327655,28244.04234055565,28244.04234055565,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Hydro,2026,28217.48130447279,28234.05,28217.48130447279,28234.05,28426.562794494628,29087.74720524394,28777.984260922887,28314.14809271246,28314.14809271246,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Hydro,2027,28257.33459782707,28234.05,28257.33459782707,28234.05,28572.750065612792,29311.65120093193,28817.83755427717,28405.075821984443,28405.075821984443,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Hydro,2028,28297.18750530741,28234.05,28297.18750530741,28234.05,28748.05673675537,29441.754288364697,28857.69046175751,28514.11567002375,28514.11567002375,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Hydro,2029,28337.149050944696,28234.05,28337.149050944696,28234.05,28924.57725982666,29441.754288364697,28897.652007394794,28623.91052794581,28623.91052794581,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Solar,2025,134967.1982145894,123776.35333333333,134967.1982145894,99741.34435698445,92895.03434570313,93241.88090012304,134610.7625878775,93241.88090727967,93241.88090727967,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Solar,2026,148877.4971227758,135746.055,148877.4971227758,104465.444653638,97746.32047851563,98604.89035697358,148521.0614960639,98604.89036559466,98604.89036559466,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Solar,2027,162930.86573850937,148250.70222222223,162930.86573850937,108777.95136262229,105413.79215820313,103896.18418832593,162574.43011179747,103896.1841987824,103896.1841987824,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Solar,2028,176906.23743243734,161290.295,176906.23743243734,112693.319211981,113171.40202148438,108049.47063106665,176549.80180572544,108049.47064375464,108049.47064375464,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Solar,2029,190624.2918936123,174864.83333333334,190624.2918936123,116231.2165391788,119758.42643554688,112686.9096750955,190267.8562669004,112686.90968978051,112686.90968978051,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Wind,2025,5402.566869067417,5858.04,5402.566869067417,5858.04,6628.949423828125,6611.795785960723,5858.04,6220.240465857557,6220.240465857557,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Wind,2026,5673.014524033351,5858.04,5673.014524033351,5858.04,7277.909567871094,7194.253157610828,5858.04,6713.815258792388,6713.815258792388,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Wind,2027,5944.525559870639,5919.904726726726,5944.525559870639,5858.04,8076.321921386719,7893.168084387855,6022.110009925174,7302.412744712553,7302.412744712553,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
Japan,JPN,Asia,Wind,2028,6215.962659989223,6178.460587837837,6215.962659989223,5858.04,8726.272482910157,8461.028647960991,6293.547110043758,7784.4760706504685,7784.4760706504685,"Ensemble(LR, Prophet, SARIMA, XGB, LGBM, Hybrid)"
